"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Lonnie Gordon","Adler","M","1","Barrera","181.21098","free","New York-Newark-Jersey City, NY-NJ-PA","595","Catch You Baby (Steve Pitron & Max Sanna Radio Edit)","100"
"Busdriver","Aleena","F","43","Kirby","202.16118","paid","Waterloo-Cedar Falls, IA","639","The Troglodyte Wins","44"
"SOJA","Sienna","F","2","Colon","285.25669","free","Las Cruces, NM","386","Rasta Courage","81"
"Mike And The Mechanics","Aleena","F","44","Kirby","275.12118","paid","Waterloo-Cedar Falls, IA","639","A Beggar On A Beach Of Gold","44"
"Evanescence","Aleena","F","45","Kirby","224.10404","paid","Waterloo-Cedar Falls, IA","639","Lithium","44"
"Justin Bieber","Aleena","F","46","Kirby","229.0673","paid","Waterloo-Cedar Falls, IA","639","One Less Lonely Girl","44"
"Brandon Heath","Aleena","F","47","Kirby","232.69832","paid","Waterloo-Cedar Falls, IA","639","Give Me Your Eyes","44"
"Samael","Lily","F","0","Burns","221.33506","free","New York-Newark-Jersey City, NY-NJ-PA","756","Under One Flag","32"
"Steve Bug","Aleena","F","51","Kirby","438.67383","paid","Waterloo-Cedar Falls, IA","639","Smackman","44"
"Guns N' Roses","Aleena","F","52","Kirby","208.48281","paid","Waterloo-Cedar Falls, IA","639","Down On The Farm","44"
"New Boyz","Aleena","F","53","Kirby","178.80771","paid","Waterloo-Cedar Falls, IA","639","Tie Me Down [feat. Ray J] (Amended Album Version)","44"
"Train","Aleena","F","54","Kirby","216.76363","paid","Waterloo-Cedar Falls, IA","639","Hey_ Soul Sister","44"
"Randy Crawford","Aleena","F","55","Kirby","270.75873","paid","Waterloo-Cedar Falls, IA","639","Almaz","44"
"Cro-Mags","Jacob","M","0","Rogers","206.99383","free","San Diego-Carlsbad, CA","459","Eyes Of Tomorrow","18"
"Animal Collective","Ryan","M","0","Smith","322.0371","free","San Jose-Sunnyvale-Santa Clara, CA","767","In The Flowers","26"
"Marisa Monte","Chloe","F","2","Cuevas","290.95138","paid","San Francisco-Oakland-Hayward, CA","758","O Xote Das Meninas/Asa Branca/Hino A Sao Jose","49"
"Hollywood Undead","Chloe","F","3","Cuevas","210.52036","paid","San Francisco-Oakland-Hayward, CA","758","Everywhere I Go","49"
"JosÃÂ© GonzÃÂ¡lez","Chloe","F","4","Cuevas","162.97751","paid","San Francisco-Oakland-Hayward, CA","758","Crosses","49"
"Tom Petty And The Heartbreakers","Chloe","F","5","Cuevas","241.52771","paid","San Francisco-Oakland-Hayward, CA","758","Learning To Fly","49"
"Sara Bareilles","Chloe","F","6","Cuevas","233.37751","paid","San Francisco-Oakland-Hayward, CA","758","Gravity","49"
"Asian Dub Foundation","Chloe","F","7","Cuevas","264.69832","paid","San Francisco-Oakland-Hayward, CA","758","Rise To The Challenge","49"
"Cast Of Camp Rock","Ayla","F","0","Johnson","190.71955","free","Santa Rosa, CA","729","We Rock","63"
"The Killers","Chloe","F","8","Cuevas","287.73832","paid","San Francisco-Oakland-Hayward, CA","758","All The Pretty Faces","49"
"Yung Berg feat. Young Jeezy & Ludacris","Ayla","F","1","Johnson","177.162","free","Santa Rosa, CA","729","285 (feat. Young Jeezy & Ludacris)","63"
"Sin Bandera","Ayla","F","2","Johnson","252.78649","free","Santa Rosa, CA","729","Si Me Besas","63"
"Black Eyed Peas","Chloe","F","9","Cuevas","229.61587","paid","San Francisco-Oakland-Hayward, CA","758","Let's Get It Started","49"
"OneRepublic","Ayla","F","3","Johnson","208.14322","free","Santa Rosa, CA","729","Apologize","63"
"Charlie Louvin","Chloe","F","10","Cuevas","170.86649","paid","San Francisco-Oakland-Hayward, CA","758","I Think I'll Live","49"
"Ill Nino","Chloe","F","11","Cuevas","202.57914","paid","San Francisco-Oakland-Hayward, CA","758","Unframed (Album Version)","49"
"Coldplay","Chloe","F","12","Cuevas","294.1122","paid","San Francisco-Oakland-Hayward, CA","758","Fix You","49"
"Kansas","Chloe","F","13","Cuevas","275.9571","paid","San Francisco-Oakland-Hayward, CA","758","Carry On Wayward Son","49"
"Kurtis Blow","Colm","M","0","Santana","353.88036","free","Nashville-Davidson--Murfreesboro--Franklin, TN","722","The Breaks","67"
"Chromeo","Sylvie","F","0","Cruz","171.57179","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","717","Momma's Boy","10"
"Beach House","Chloe","F","14","Cuevas","322.71628","paid","San Francisco-Oakland-Hayward, CA","758","Walk In The Park","49"
"BeyoncÃÂ©","Chloe","F","15","Cuevas","236.35546","paid","San Francisco-Oakland-Hayward, CA","758","Ego","49"
"Kid Cudi / MGMT / Ratatat","Chloe","F","16","Cuevas","295.67955","paid","San Francisco-Oakland-Hayward, CA","758","Pursuit Of Happiness (nightmare)","49"
"Erin McKeown","Chloe","F","17","Cuevas","292.75383","paid","San Francisco-Oakland-Hayward, CA","758","Daisy And Prudence","49"
"Andres Calamaro","Chloe","F","18","Cuevas","263.83628","paid","San Francisco-Oakland-Hayward, CA","758","Los Aviones","49"
"Akon","Chloe","F","19","Cuevas","253.77914","paid","San Francisco-Oakland-Hayward, CA","758","Freedom","49"
"Los Bunkers","Chloe","F","20","Cuevas","217.83465","paid","San Francisco-Oakland-Hayward, CA","758","Ven AquÃÂ­","49"
"Steely Dan","Chloe","F","21","Cuevas","273.94567","paid","San Francisco-Oakland-Hayward, CA","758","Reelin' In The Years","49"
"Aterciopelados","Chloe","F","22","Cuevas","169.45587","paid","San Francisco-Oakland-Hayward, CA","758","Complemento","49"
"The Avett Brothers","Chloe","F","26","Cuevas","291.36934","paid","San Francisco-Oakland-Hayward, CA","758","Laundry Room","49"
"Metallica","Chloe","F","27","Cuevas","284.86485","paid","San Francisco-Oakland-Hayward, CA","758","Fight Fire With Fire","49"
"Rihanna","Chloe","F","28","Cuevas","208.40444","paid","San Francisco-Oakland-Hayward, CA","758","Te Amo","49"
"Sepultura","Chloe","F","29","Cuevas","238.62812","paid","San Francisco-Oakland-Hayward, CA","758","More Of The Same","49"
"Fate","Ryan","M","1","Smith","290.58567","free","San Jose-Sunnyvale-Santa Clara, CA","783","(I Can't Stand) Losing You (2004 Digital Remaster)","26"
"Stone Temple Pilots","Chloe","F","30","Cuevas","155.24526","paid","San Francisco-Oakland-Hayward, CA","758","Days Of The Week (Album Version)","49"
"Sean Kingston and Justin Bieber","Ryan","M","2","Smith","201.9522","free","San Jose-Sunnyvale-Santa Clara, CA","783","Eenie Meenie","26"
"Iron Maiden","Chloe","F","31","Cuevas","233.76934","paid","San Francisco-Oakland-Hayward, CA","758","Run To The Hills (1998 Digital Remaster)","49"
"Blackalicious","Chloe","F","32","Cuevas","206.36689","paid","San Francisco-Oakland-Hayward, CA","758","Make You Feel That Way","49"
"Deftones","Kinsley","F","2","Young","372.97587","paid","Red Bluff, CA","776","Head Up (LP Version)","85"
"Destiny's Child","Chloe","F","33","Cuevas","271.33342","paid","San Francisco-Oakland-Hayward, CA","758","Say My Name","49"
"Cat Stevens","Chloe","F","34","Cuevas","167.6273","paid","San Francisco-Oakland-Hayward, CA","758","If You Want To Sing Out_ Sing Out","49"
"The Notorious B.I.G.","Kinsley","F","3","Young","239.75138","paid","Red Bluff, CA","776","Playa Hater (Amended Version)","85"
"Eminem / Dr. Dre / 50 Cent","Chloe","F","35","Cuevas","297.482","paid","San Francisco-Oakland-Hayward, CA","758","Crack A Bottle","49"
"Orchestral Manoeuvres In The Dark","Kinsley","F","4","Young","263.26159","paid","Red Bluff, CA","776","Stay (The Black Rose And The Universal Wheel)","85"
"Vangelis","Kinsley","F","5","Young","280.21506","paid","Red Bluff, CA","776","Roxane's Veil","85"
"Spandau Ballet","Kinsley","F","6","Young","333.63546","paid","Red Bluff, CA","776","TRUE","85"
"The Pussycat Dolls","Kinsley","F","8","Young","197.90322","paid","Red Bluff, CA","776","I'm Done","85"
"The Hollies","Kinsley","F","9","Young","252.96934","paid","Red Bluff, CA","776","I'm Down","85"
"Lily Allen","Kinsley","F","10","Young","190.95465","paid","Red Bluff, CA","776","LDN","85"
"Fall Out Boy","Kinsley","F","11","Young","231.47057","paid","Red Bluff, CA","776","She's My Winona","85"
"Metallica","Kinsley","F","12","Young","396.40771","paid","Red Bluff, CA","776","The Unforgiven II","85"
"Journey","Hannah","F","0","Calhoun","244.06159","free","Los Angeles-Long Beach-Anaheim, CA","410","Loved By You","64"
"O-Zone","Kinsley","F","13","Young","213.7073","paid","Red Bluff, CA","776","Dragostea din tin (ma-ya-hi)","85"
"The Spinners","Chloe","F","37","Cuevas","187.27138","paid","San Francisco-Oakland-Hayward, CA","758","It's A Shame","49"
"Murs","Kinsley","F","14","Young","256.7571","paid","Red Bluff, CA","776","Bad Man!","85"
"Navajita Platea","Chloe","F","38","Cuevas","261.14567","paid","San Francisco-Oakland-Hayward, CA","758","Desde Mi Azotea (Version JDK)","49"
"Basshunter","Kinsley","F","15","Young","207.0722","paid","Red Bluff, CA","776","Boten Anna [Radio edit]","85"
"Melody Gardot","Chloe","F","39","Cuevas","322.97751","paid","San Francisco-Oakland-Hayward, CA","758","Some Lessons","49"
"Maelo Ruiz","Kinsley","F","16","Young","292.77995","paid","Red Bluff, CA","776","Te Va A Doler","85"
"Aaliyah","Chloe","F","40","Cuevas","289.88036","paid","San Francisco-Oakland-Hayward, CA","758","At Your Best You Are Love","49"
"Dwight Yoakam","Kinsley","F","17","Young","239.3073","paid","Red Bluff, CA","776","You're The One","85"
"Coldplay","Chloe","F","41","Cuevas","307.51302","paid","San Francisco-Oakland-Hayward, CA","758","Clocks","49"
"Fragma","Kinsley","F","18","Young","440.76363","paid","Red Bluff, CA","776","Everytime You Need Me (Pulsedriver Remix) (Instrumental)","85"
"Rihanna","Chloe","F","42","Cuevas","268.25098","paid","San Francisco-Oakland-Hayward, CA","758","Don't Stop The Music","49"
"Temple Of The Dog","Kinsley","F","19","Young","243.9571","paid","Red Bluff, CA","776","Hunger Strike","85"
"Tears For Fears","Chloe","F","43","Cuevas","255.34649","paid","San Francisco-Oakland-Hayward, CA","758","Head Over Heels","49"
"Base Ball Bear","Kinsley","F","20","Young","255.60771","paid","Red Bluff, CA","776","Sayonara-Nostalgia","85"
"Train","Chloe","F","44","Cuevas","234.50077","paid","San Francisco-Oakland-Hayward, CA","758","Skyscraper","49"
"Rufus Wainwright","Kinsley","F","21","Young","249.62567","paid","Red Bluff, CA","776","Hallelujah","85"
"Confederate Railroad","Chloe","F","45","Cuevas","202.57914","paid","San Francisco-Oakland-Hayward, CA","758","Jesus And Mama (LP Version)","49"
"Leona Lewis","Kinsley","F","22","Young","203.88526","paid","Red Bluff, CA","776","Forgive Me","85"
"Panic At The Disco","Chloe","F","46","Cuevas","259.29098","paid","San Francisco-Oakland-Hayward, CA","758","Behind The Sea [Live In Chicago]","49"
"Jesse Cook","Kinsley","F","26","Young","240.43057","paid","Red Bluff, CA","776","Byzantium Underground","85"
"Gorillaz","Chloe","F","47","Cuevas","221.20444","paid","San Francisco-Oakland-Hayward, CA","758","Feel Good Inc (Album Version)","49"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Kinsley","F","27","Young","277.15873","paid","Red Bluff, CA","776","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","85"
"Paramore","Chloe","F","48","Cuevas","267.65016","paid","San Francisco-Oakland-Hayward, CA","758","The Only Exception (Album Version)","49"
"Yonder Mountain String Band","Kinsley","F","28","Young","297.58649","paid","Red Bluff, CA","776","Boatman's Dance","85"
"Nine Inch Nails","Kinsley","F","29","Young","293.69424","paid","Red Bluff, CA","776","Dead Souls (LP Version)","85"
"Robert Calvert","Kinsley","F","30","Young","140.61669","paid","Red Bluff, CA","776","The Making Of Midgard (2007 Digital Remaster)","85"
"Abydos","Kinsley","F","31","Young","76.85179","paid","Red Bluff, CA","776","Green's Guidance For A Stategy Adventure Game","85"
"Karsh Kale","Kinsley","F","32","Young","446.27546","paid","Red Bluff, CA","776","Break of Dawn","85"
"Machine Head","Kinsley","F","33","Young","542.58893","paid","Red Bluff, CA","776","Halo (Explicit Album Version)","85"
"Orishas","Chloe","F","50","Cuevas","247.43138","paid","San Francisco-Oakland-Hayward, CA","758","Quien Te Dijo","49"
"Common / Vinia Mojica / Roy Hargrove / Femi Kuti","Kinsley","F","34","Young","356.07465","paid","Red Bluff, CA","776","Time Traveling (A Tribute To Fela)","85"
"Ricardo Montaner","Chloe","F","51","Cuevas","249.41669","paid","San Francisco-Oakland-Hayward, CA","758","Y Como  Es El","49"
"Denise Jannah","Kinsley","F","35","Young","477.04771","paid","Red Bluff, CA","776","'Round Midnight","85"
"Loudon Wainwright III","Chloe","F","52","Cuevas","147.74812","paid","San Francisco-Oakland-Hayward, CA","758","I Suppose","49"
"Seeed","Chloe","F","53","Cuevas","192.80934","paid","San Francisco-Oakland-Hayward, CA","758","Ding (Thing Feat. Saian Supa Crew)","49"
"Yung Berg","Chloe","F","54","Cuevas","230.63465","paid","San Francisco-Oakland-Hayward, CA","758","Do That There (featuring Dude 'N Nem)","49"
"My Chemical Romance","Ryan","M","0","Smith","184.71138","free","San Jose-Sunnyvale-Santa Clara, CA","789","I'm Not Okay (I Promise) (Live From Sessions@AOL)","26"
"Country Joe & The Fish","Chloe","F","55","Cuevas","294.76526","paid","San Francisco-Oakland-Hayward, CA","758","Rockin Round The World","49"
"Linkin Park","Ryan","M","1","Smith","208.92689","free","San Jose-Sunnyvale-Santa Clara, CA","789","What I've Done (Album Version)","26"
"Emiliana Torrini","Chloe","F","56","Cuevas","257.67138","paid","San Francisco-Oakland-Hayward, CA","758","Me And Armini","49"
"Viola","Chloe","F","57","Cuevas","260.25751","paid","San Francisco-Oakland-Hayward, CA","758","Nostalgia Amnesia","49"
"Panic At The Disco","Chloe","F","58","Cuevas","114.31138","paid","San Francisco-Oakland-Hayward, CA","758","Folkin' Around [Live In Chicago]","49"
"Travis","Chloe","F","59","Cuevas","204.7473","paid","San Francisco-Oakland-Hayward, CA","758","Good Feeling","49"
"Kings Of Leon","Chloe","F","60","Cuevas","201.79546","paid","San Francisco-Oakland-Hayward, CA","758","Revelry","49"
"The Darkness","Chloe","F","61","Cuevas","206.81098","paid","San Francisco-Oakland-Hayward, CA","758","One Way Ticket [Radio Edit]","49"
"Florence + The Machine","Chloe","F","62","Cuevas","168.64608","paid","San Francisco-Oakland-Hayward, CA","758","You've Got The Love","49"
